inventory_id,item_id,location,case_count_on_hand,case_count_allocated,case_count_available,unit_price,date_last_sold,case_count_last_sold,date_extracted
84827,63617,PAN,190,0,190,0,20211005,220,Mon Oct 11 16:52:32 2021
69804,62227,MOF,1344,1320,24,0,20211011,5,Mon Oct 11 16:52:32 2021
69699,62127,MOF,12339,2550,9789,0,20211011,40,Mon Oct 11 16:52:32 2021
69082,61592,REC,3394,0,3394,0,20211005,406,Mon Oct 11 16:52:32 2021
97028,60503,HLD,14148,0,14148,0,20210916,567,Mon Oct 11 16:52:32 2021
67255,58379,MOF,1813,1813,0,0,20211011,40,Mon Oct 11 16:52:32 2021
66472,56335,PAN,385,0,385,0,20210929,1227,Mon Oct 11 16:52:32 2021
95953,55359,HLD,5271,0,5271,0,20211011,360,Mon Oct 11 16:52:32 2021
95949,55119,HLD,2324,0,2324,0,20211008,260,Mon Oct 11 16:52:32 2021
95910,54705,HLD,7820,0,7820,0,20211011,1000,Mon Oct 11 16:52:32 2021
101165,52122,PAN,846,0,846,0,20210929,322,Mon Oct 11 16:52:32 2021
58427,52122,REC,19384,0,19384,0,20211005,1016,Mon Oct 11 16:52:32 2021
58058,51777,MOF,205,205,0,0,20211011,5,Mon Oct 11 16:52:32 2021
56547,50428,MOF,173,171,2,0,20211011,33,Mon Oct 11 16:52:32 2021
56546,50427,MOF,167,143,24,0,20211011,15,Mon Oct 11 16:52:32 2021
56545,50426,MOF,136,118,18,0,20211011,5,Mon Oct 11 16:52:32 2021
56404,50294,MOF,5,5,0,0,20211007,8,Mon Oct 11 16:52:32 2021
73904,48859,REC,300,0,300,0,20210920,400,Mon Oct 11 16:52:32 2021
73903,48858,REC,2315,0,2315,0,20211008,900,Mon Oct 11 16:52:32 2021
54103,48270,MOF,923,391,532,0,20211011,5,Mon Oct 11 16:52:32 2021
53311,47576,MOF,52,6,46,0,20211011,2,Mon Oct 11 16:52:32 2021
95928,47549,HLD,3731,0,3731,0,20211007,140,Mon Oct 11 16:52:32 2021
53276,47544,MOF,27,27,0,0,20211011,11,Mon Oct 11 16:52:32 2021
53162,47434,MOF,760,382,378,0,20211011,25,Mon Oct 11 16:52:32 2021
53158,47430,MOF,225,225,0,0,20211011,10,Mon Oct 11 16:52:32 2021
53157,47429,MOF,35,35,0,0,20211011,27,Mon Oct 11 16:52:32 2021
53147,47422,MOF,155,43,112,0,20211011,2,Mon Oct 11 16:52:32 2021
53143,47418,MOF,72,72,0,0,20211011,1,Mon Oct 11 16:52:32 2021
53138,47413,MOF,22,22,0,0,20211011,15,Mon Oct 11 16:52:32 2021
130509,46063,HLD,2102,0,2102,0,20210107,887,Mon Oct 11 16:52:32 2021
137352,45984,PAN,54,0,54,0,20210929,54,Mon Oct 11 16:52:32 2021
95911,45719,HLD,20005,0,20005,0,20211009,1060,Mon Oct 11 16:52:32 2021
95890,45718,HLD,8749,0,8749,0,20211008,2005,Mon Oct 11 16:52:32 2021
95892,45717,HLD,13347,0,13347,0,20211011,720,Mon Oct 11 16:52:32 2021
95894,45715,HLD,84178,0,84178,0,20211011,440,Mon Oct 11 16:52:32 2021
76357,45713,PAN,1454,0,1454,0,20210929,5995,Mon Oct 11 16:52:32 2021
51201,45713,REC,16370,0,16370,0,20210920,300,Mon Oct 11 16:52:32 2021
78729,44077,REC,3138,0,3138,0,20210907,110,Mon Oct 11 16:52:32 2021
78185,42836,REC,5811,0,5811,0,20211008,900,Mon Oct 11 16:52:32 2021
95893,42372,HLD,5698,0,5698,0,20211011,530,Mon Oct 11 16:52:32 2021
95891,42252,HLD,2076,0,2076,0,20211007,254,Mon Oct 11 16:52:32 2021
95907,40583,HLD,41,0,41,0,20210917,21,Mon Oct 11 16:52:32 2021
95889,39609,HLD,20857,0,20857,0,20211011,285,Mon Oct 11 16:52:32 2021
95895,33916,HLD,6369,0,6369,0,20211007,1540,Mon Oct 11 16:52:32 2021
